Ghana,7.8,14.1,12.3,12.3
Marshall Islands,7,8.1,10,11.7
Kiribati,9.1,10,10.7,11.5
Vanuatu,8,9.2,10.6,11.3
Pakistan,8,9,10,10.9
Haiti,8.4,9,9.8,10.6
Turkmenistan,3,5,7.2,9.6
Djibouti,6.5,7,8.3,9.5
Gabon,7.2,8,8.6,9.2
Iraq,2.5,5,7.1,9.2
Rwanda,8,7,8,8.7
Solomon Islands,5,6,7,8
"Congo, Rep.",5,5.6,6.1,6.6
Bangladesh,3.7,5,5.8,6.5
Comoros,5.1,5.5,6,6.5
Papua New Guinea,1.3,2,3.5,6.5
Cameroon,4.3,5,5.7,6.4
Mauritania,4,4.5,5.4,6.2
Cambodia,1.3,3.1,4.9,6
Afghanistan,4,5,5.5,5.9
Malawi,2.3,3.3,4.4,5.4
Mozambique,4.2,4.3,4.8,5.4
Lesotho,3.9,4.2,4.6,5
Benin,3.1,4.1,4.5,4.9
Liberia,2.3,3,3.8,4.6
Togo,3,3.5,4,4.5
Burkina Faso,2.4,3,3.7,4.4
Tanzania,2.9,3.5,4,4.4
Central African Republic,2,2.2,3,3.5
Guinea-Bissau,2.5,2.7,2.9,3.1
Cote d'Ivoire,2.1,2.2,2.4,2.6
Chad,1.7,1.9,2.1,2.3
Mali,1.9,2,2.2,2.3
"Congo, Dem. Rep.",0.7,1.2,1.7,2.2
Madagascar,1.7,1.9,2.1,2.2
Ethiopia,0.8,1.1,1.5,1.9
Niger,0.8,1.3,1.4,1.7
Sierra Leone,0.6,0.9,1.3,1.7
Guinea,1,1.3,1.5,1.6
Somalia,,1.3,1.4,1.5
Burundi,1,1.1,1.2,1.3
Myanmar,0.3,1,1.1,1.2
Timor-Leste,0.2,0.9,0.9,1.1
Eritrea,0.6,0.7,0.8,0.9
